product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Radiant Cotton Bikini 3-Pack QD3589,$33.00 ,$33.00 ,http://www1.macys.com/shop/product/calvin-klein-radiant-cotton-bikini-3-pack-qd3589?ID=2708242&CategoryID=65739,Calvin Klein,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"Enjoy the breathable comfort of this cotton stretch bikini from Calvin Klein, featuring a logo waistband.",5,2,"[""Elastic waistband features logo"", ""Lined at gusset"", ""Comes in a pack of 3"", ""Cotton/elastane; gusset: cotton"", ""Machine washable"", ""Imported"", ""Web ID: 2708242""]","[""S"", ""M"", ""L"", ""XL""]","[""S"", ""M"", ""L"", ""XL""]",Black/White/Ashford Gray
After Midnight Signature Lace Peek-A-Boo Bralette 487831,$52.00 ,$52.00 ,http://www1.macys.com/shop/product/hanky-panky-after-midnight-signature-lace-peek-a-boo-bralette-487831?ID=1445857&CategoryID=65739,Hanky Panky,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,Unleash your sexy side with a seductive style from Hanky Panky's After Midnight Collection. The Signature Lace Peek-A-Boo Bralette features peek-a-boo ribbon ties on the lace cups. Style #487831,,,"[""All-lace bralette "", ""Adjustable straps"", ""Functional \""peek-a-boo\"" ribbon ties at the center of the cup"", ""Nylon"", ""Hand wash"", ""Made in USA"", ""Web ID: 1445857""]","[""S"", ""M"", ""L""]","[""S"", ""M"", ""L""]",Tulip Pink
Invisibles Hipster D3429,$13.00 ,$13.00 ,http://www1.macys.com/shop/product/calvin-klein-invisibles-hipster-d3429?ID=579670&CategoryID=65739,Calvin Klein,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,Moderate coverage that disappears under clothes? Calvin Klein pulls it off with this seamless Invisibles hipster. Style #D3429,4.2,78,"[""Seamless body"", ""Contrast logo at left hip"", ""Lined at gusset"", ""Nylon/elastane"", ""Machine washable"", ""Imported"", ""Web ID: 579670""]","[""S"", ""M"", ""L"", ""XL""]","[""S"", ""M"", ""L""]",Desert Sunset
Low-Impact Strappy Sports Bra,$24.98 ,$24.98 ,http://www1.macys.com/shop/product/calvin-klein-performance-low-impact-strappy-sports-bra?ID=2818131&CategoryID=55799,Calvin Klein Performance,Women - Lingerie & Shapewear - Bras,Macys US,"Fashion and function meet in standout style in this low-impact sports bra from Calvin Klein Performance, with a strappy X-back that gives you a great look plus freedom of movement.",5,1,"[""Scoop neckline"", ""Pullover styling with strappy cross-back"", ""Quick-drying fabric"", ""Full coverage"", ""Low-impact sports bra ideal for yoga, pilates and lounging"", ""Nylon/spandex/polyester"", ""Machine washable"", ""Imported"", ""Web ID: 2818131""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",Radnt Blu
b.inspired Lace Hipster 945251,$22.00 ,$22.00 ,http://www1.macys.com/shop/product/b.temptd-by-wacoal-b.inspired-lace-hipster-945251?ID=4356174&CategoryID=55805,b.tempt'd by Wacoal,Women - Lingerie & Shapewear - Panties,Macys US,Pretty floral and diamond lace are paired with a stretch mesh back in the b.inspired hipster from b.tempt'd by Wacoal.,,,"[""Decorative elastic trim at waist and leg openings"", ""Stretch mesh back"", ""Lined at gusset"", ""Nylon/spandex; gusset: cotton"", ""Hand wash"", ""Imported"", ""Web ID: 4356174""]","[""S"", ""M"", ""L"", ""XL""]","[""S"", ""M"", ""L"", ""XL""]",Night/Dazziling Blue
Zoned High-Waist Long-Leg Shaper 805258,$78.00 ,$54.60 ,http://www1.macys.com/shop/product/wacoal-zoned-high-waist-long-leg-shaper-805258?ID=2692352&CategoryID=65739,Wacoal,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,Flatter your figure from waist to thighs with the smoothing power of this graduated compression shaper from Wacoal. It gently slims and smooths in all the right places.,,,"[""Firmest compression at stomach"", ""Moderate compression at legs"", ""Light compression at rear with engineered pick-me-up"", ""Seam at center back"", ""Hits at mid-thigh"", ""Lined at gusset with convenient opening"", ""Nylon/spandex; gusset: cotton"", ""Hand wash"", ""Imported"", ""Web ID: 2692352""]","[""S"", ""M"", ""L"", ""XL"", ""2X""]","[""S"", ""M"", ""L"", ""XL"", ""2X""]",Black
Plus Size Retro Thong 9K1926X,$25.00 ,$25.00 ,http://www1.macys.com/shop/product/hanky-panky-plus-size-retro-thong-9k1926x?ID=1087879&CategoryID=55805,Hanky Panky,Women - Lingerie & Shapewear - Panties,Macys US,"You can't go wrong with Hanky Panky's signature fit, feel and comfort. The Retro Thong has a high waist that's designed with an extra-generous band of lace to make the tummy appear slimmer. Fits sizes 14-24. Style #9K1926X",4.8,9,"[""High-waist panty "", ""Soft, stretch signature lace "", ""Lined at gusset "", ""Body: Nylon; Trim: nylon/spandex; lining: cotton"", ""Hand wash"", ""Made in USA"", ""Web ID: 1087879""]","[""OS""]","[""OS""]",Marshmallow
CK One Logo Bikini QF1369,$20.00 ,$20.00 ,http://www1.macys.com/shop/product/calvin-klein-ck-one-logo-bikini-qf1369?ID=4548377&CategoryID=55805,Calvin Klein,Women - Lingerie & Shapewear - Panties,Macys US,"Make the soft, sleek style of this CK One bikini from Calvin Klein your new go-to fav.",,,"[""Elastic waistband features repeating logo"", ""Lined at gusset"", ""Cotton/elastane"", ""Hand wash"", ""Imported"", ""Web ID: 4548377""]","[""S"", ""M"", ""L""]","[""S"", ""M"", ""L""]",Black
b.inspired Contour Stretch Bra 953251,$40.00 ,$40.00 ,http://www1.macys.com/shop/product/b.temptd-by-wacoal-b.inspired-contour-stretch-bra-953251?ID=4356181&CategoryID=65739,b.tempt'd by Wacoal,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"Comfort meets sophistication in this stretchy, diamond-lace contour bra from b.tempt'd by Wacoal.",,,"[""Adjustable straps"", ""Stretch foam, contour cups with ruched bottom cover"", ""Bow at center front"", ""Stretch mesh wings"", ""Double hook-and-eye back closure"", ""Nylon/spandex/polyester"", ""Hand wash"", ""Imported"", ""Web ID: 4356181""]","[""32B"", ""32C"", ""32D"", ""32DD"", ""32DDD"", ""34B"", ""34C"", ""34D"", ""34DD"", ""34DDD"", ""36B"", ""36C"", ""36D"", ""36DD"", ""36DDD"", ""38C"", ""38D""]","[""32B"", ""32C"", ""32D"", ""32DD"", ""32DDD"", ""34B"", ""34C"", ""34D""]",Deep Taupe/Rose Smok
b.splendid Seamless Boyshort 978355,$13.00 ,$13.00 ,http://www1.macys.com/shop/product/b.temptd-by-wacoal-b.splendid-seamless-boyshort-978355?ID=4427351&CategoryID=65739,b.tempt'd by Wacoal,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"Enjoy the luxury of soft, sleek, seamless heather fabric when you pull on the b.splendid boyshort from b.tempt'd by Wacoal.",1,1,"[""Elastic waistband"", ""Lined at gusset"", ""Nylon/polyester/spandex; gusset: cotton"", ""Hand wash"", ""Imported"", ""Web ID: 4427351""]","[""S"", ""M"", ""L"", ""XL""]","[""S"", ""M"", ""L""]",Pink Yarrow/Heather
