date,year,month,open,high,low,close,volume,id
02-11-2005 0:00,2005,11,57.72,506.5,57.6,59.95,30857901,2088
01-11-2005 0:00,2005,11,57.24,506.5,56.87,57.5,26837071,2089
31-10-2005 0:00,2005,10,55.2,506.5,54.75,57.59,33727255,2090
28-10-2005 0:00,2005,10,56.04,506.5,54.17,54.47,27503152,2091
27-10-2005 0:00,2005,10,56.99,506.5,55.41,55.41,15044140,2092
26-10-2005 0:00,2005,10,56.28,506.5,55.92,57.03,22608343,2093
25-10-2005 0:00,2005,10,56.4,506.5,55.69,56.1,16655439,2094
24-10-2005 0:00,2005,10,55.25,506.5,55.09,56.79,21884143,2095
21-10-2005 0:00,2005,10,56.84,506.5,55.36,55.66,28457332,2096
20-10-2005 0:00,2005,10,54.47,506.5,54.35,56.14,48512605,2097
19-10-2005 0:00,2005,10,52.07,506.5,51.21,54.94,36038077,2098
18-10-2005 0:00,2005,10,53.25,506.5,52.2,52.21,21771689,2099
17-10-2005 0:00,2005,10,53.98,506.5,52.68,53.44,22036008,2100
14-10-2005 0:00,2005,10,54.03,506.5,52.79,54,36988590,2101
13-10-2005 0:00,2005,10,49.44,506.5,49.27,53.74,66648777,2102
12-10-2005 0:00,2005,10,48.65,506.5,47.87,49.25,96376003,2103
11-10-2005 0:00,2005,10,51.23,506.5,50.4,51.59,44614549,2104
10-10-2005 0:00,2005,10,51.76,506.5,50.28,50.37,18136249,2105
07-10-2005 0:00,2005,10,51.72,506.5,50.55,51.3,24220088,2106
06-10-2005 0:00,2005,10,53.2,506.5,50.87,51.7,27083932,2107
05-10-2005 0:00,2005,10,54.33,506.5,52.75,52.78,21818346,2108
04-10-2005 0:00,2005,10,54.95,506.5,53.64,53.75,19339081,2109
03-10-2005 0:00,2005,10,54.16,506.5,53.68,54.44,18160443,2110
30-09-2005 0:00,2005,9,52.33,506.5,51.88,53.61,18994591,2111
29-09-2005 0:00,2005,9,51.23,506.5,50.81,52.34,22757859,2112
28-09-2005 0:00,2005,9,53.07,506.5,50.59,51.08,40238837,2113
27-09-2005 0:00,2005,9,53.92,506.5,53.43,53.44,12206208,2114
26-09-2005 0:00,2005,9,54.03,506.5,53.32,53.84,19522180,2115
23-09-2005 0:00,2005,9,52.1,506.5,51.84,53.2,19946631,2116
22-09-2005 0:00,2005,9,51.88,506.5,51.32,51.9,16572740,2117
