id_guest,id_host,id_listing,ts_contact_at,ts_reply_at,ts_accepted_at,ts_booking_at,ds_checkin,ds_checkout,n_guests,n_messages
7424d151-b449-40e1-9e8f-c258289c581c,beeab7c3-ab4e-45d7-bde9-978de0fd8d57,c318d3e3-b36e-43b8-9b0c-3400cbca3895,11-10-2014 14:57,13-10-2014 7:24,13-10-2014 7:24,,29-10-2014 0:00,05-11-2014 0:00,1,2
15eb6f98-98ee-491e-8eeb-b5e2c61bfd8a,1a162837-bd2e-4cf3-b498-70f122f8e278,ef78de5e-c0c2-47b5-9f90-8d508ada4aa8,30-09-2014 7:54,,,,17-10-2014 0:00,19-10-2014 0:00,1,2
d328a4a0-df5f-4851-a864-a8845b45c1e0,d4fac41a-cfb0-4440-8f5f-cc71d69900bf,4054beed-b863-4ccf-8dd0-ef70317133f3,12-10-2014 11:10,12-10-2014 11:18,12-10-2014 11:18,12-10-2014 11:18,24-10-2014 0:00,29-10-2014 0:00,1,15
eda96881-7b23-413a-9f6f-b45dc9fe2a5b,300bb97d-ee7e-40df-93b8-d4ae133566d8,0caa7b1b-f1a3-4ebc-af8d-38400272b980,05-10-2014 18:57,05-10-2014 19:40,,,12-06-2015 0:00,14-06-2015 0:00,4,5
882f3764-05cc-436a-b23b-93fea22ea847,570ebf8a-6594-4511-91ea-0f9227124e47,f916ba84-966c-4abf-bfe6-35e6a9e4643b,14-10-2014 9:23,14-10-2014 18:41,14-10-2014 18:41,15-10-2014 20:59,19-10-2014 0:00,21-10-2014 0:00,2,19
6cb23070-821b-467d-b4d0-af04645a0703,8e78ca63-5473-4b4c-a7fc-6d112de50a46,d0babecd-86bf-48c8-9aeb-dde877c62c37,07-10-2014 13:38,08-10-2014 10:05,,,31-10-2014 0:00,03-11-2014 0:00,2,2
e3cdd90a-8097-4220-9722-2b914d761a84,ff3fe9f4-ec5f-4ca3-8ec3-6147f9589d91,81dd195e-f6e3-46e5-a282-dbb786b0904b,12-10-2014 15:09,12-10-2014 17:19,12-10-2014 17:19,,06-11-2014 0:00,07-11-2014 0:00,1,4
5c4b64d5-4869-4a02-b36c-c451758559e0,d5bf9afd-9572-4f60-955e-02706cc7130a,5a218b22-2de4-4e7d-a2ed-7ad1cd4d4167,14-10-2014 9:55,,,,27-11-2014 0:00,30-11-2014 0:00,2,2
eaa8118b-aba6-4c25-96cd-c72f01d6b063,d00b32e3-11ee-4f76-a5b4-a7f036ea6b10,ae78cc6b-db95-481e-90a6-1737fa2fafce,14-10-2014 2:29,14-10-2014 6:52,14-10-2014 14:44,,18-10-2014 0:00,20-10-2014 0:00,2,6
62d09c95-c3d2-44e6-9081-a3485618227d,c4988f29-6ab6-4afb-9c4c-1e8ae41524d2,44770890-bdfe-49df-bdd9-28e19eafee23,04-10-2014 12:43,05-10-2014 10:49,05-10-2014 10:49,05-10-2014 10:49,25-10-2014 0:00,01-11-2014 0:00,4,20
