name,amg_movie_id,movie_title,role_type,rating,year,id
Alec Baldwin,V 537879,To Rome With Love,Normal Acting,5,2012,7131
Michael Lerner,V 533391,Mirror Mirror,Normal Acting,5,2012,7685
Robert Downey Jr.,V 527818,Iron Man 3,Normal Acting,7,2013,7803
Robert Downey Jr.,V 451151,Marvel's The Avengers,Normal Acting,8,2012,7809
Tom Cruise,V 495159,Oblivion,Normal Acting,5,2013,7946
Tom Cruise,V 546391,Jack Reacher,Normal Acting,5,2012,7948
Tom Cruise,V 546391,Jack Reacher,Producer,5,2012,7950
Tom Cruise,V 476995,Rock of Ages,Normal Acting,3,2012,7952
Kate Hudson,V 524560,A Little Bit of Heaven,Normal Acting,1,2012,8014
Kate Hudson,V 570521,The Reluctant Fundamentalist,Normal Acting,4,2012,8016
Robert Duvall,V 546391,Jack Reacher,Normal Acting,5,2012,8205
Robert Duvall,V 556296,Jayne Mansfield's Car,Normal Acting,4,2012,8207
Sandra Bullock,V 523235,Gravity,Normal Acting,8,2013,8352
Sandra Bullock,V 569643,The Heat,Normal Acting,5,2013,8354
Joan Allen,V 433051,The Bourne Legacy,Normal Acting,5,2012,8413
Diane Keaton,V 546685,The Big Wedding,Normal Acting,4,2013,8590
Diane Keaton,V 526217,Darling Companion,Normal Acting,5,2012,8591
Alan Arkin,V 574175,Grudge Match,Normal Acting,2,2013,8837
Alan Arkin,V 556976,Stand Up Guys,Normal Acting,6,2013,8838
Alan Arkin,V 551299,The Incredible Burt Wonderstone,Normal Acting,3,2013,8839
Alan Arkin,V 542623,Argo,Normal Acting,7,2012,8841
Alan Arkin,V 582979,Million Dollar Arm,Normal Acting,,2014,8836
Jeremy Irons,V 557948,Beautiful Creatures,Normal Acting,7,2013,8939
Jeremy Irons,V 577238,Night Train to Lisbon,Normal Acting,2,2013,8940
Julianne Moore,V 561713,Carrie,Normal Acting,6,2013,9033
Julianne Moore,V 576064,Don Jon,Normal Acting,8,2013,9034
Julianne Moore,V 579130,The English Teacher,Normal Acting,3,2013,9035
Julianne Moore,V 534922,Being Flynn,Normal Acting,3,2012,9036
Julianne Moore,V 571237,What Maisie Knew,Normal Acting,7,2012,9039
Jim Broadbent,V 573778,Closed Circuit,Normal Acting,5,2013,9275
Jim Broadbent,V 583896,Le Week-End,Normal Acting,5,2013,9276
Jim Broadbent,V 545241,Cloud Atlas,Normal Acting,4,2012,9278
George Clooney,V 570771,August: Osage County,Producer,8,2013,9483
George Clooney,V 523235,Gravity,Normal Acting,8,2013,9484
George Clooney,V 542623,Argo,Producer,7,2012,9487
Candice Bergen,V 578807,Scatter My Ashes at Bergdorf's,Participant,4,2013,9724
Robert Loggia,V 546396,Tim and Eric's Billion Dollar Movie,Normal Acting,4,2012,9803
Josh Brolin,V 538327,Gangster Squad,Normal Acting,6,2013,9971
Josh Brolin,V 549092,Labor Day,Normal Acting,3,2013,9974
Josh Brolin,V 545041,Oldboy,Normal Acting,5,2013,9975
Josh Brolin,V 516998,Men in Black 3,Normal Acting,6,2012,9976
Michael Caine,V 585116,Last Love,Normal Acting,4,2013,10036
Michael Caine,V 542494,Now You See Me,Normal Acting,5,2013,10037
Michael Caine,V 483125,Journey 2: The Mysterious Island,Normal Acting,3,2012,10038
Michael Caine,V 516322,The Dark Knight Rises,Normal Acting,6,2012,10040
Carey Mulligan,V 548393,Inside Llewyn Davis,Normal Acting,6,2013,10256
Carey Mulligan,V 538176,The Great Gatsby,Normal Acting,8,2013,10257
Johnny Depp,V 550476,The Lone Ranger,Executive Producer,4,2013,10561
Johnny Depp,V 550476,The Lone Ranger,Normal Acting,4,2013,10562
Johnny Depp,V 529187,Dark Shadows,Normal Acting,2,2012,10563
Johnny Depp,V 529187,Dark Shadows,Producer,2,2012,10564
Tommy Lee Jones,V 565944,The Family,Normal Acting,4,2013,10717
Tommy Lee Jones,V 555229,Emperor,Normal Acting,4,2012,10718
Tommy Lee Jones,V 530126,Lincoln,Normal Acting,7,2012,10720
Tommy Lee Jones,V 516998,Men in Black 3,Normal Acting,6,2012,10721
Viola Davis,V 557948,Beautiful Creatures,Normal Acting,7,2013,10874
Viola Davis,V 551200,Ender's Game,Normal Acting,5,2013,10875
Viola Davis,V 572110,Prisoners,Normal Acting,6,2013,10876
Viola Davis,V 571064,"Love, Marilyn",Participant,4,2012,10877
Viola Davis,V 554109,Won't Back Down,Normal Acting,4,2012,10878
Brad Pitt,V 547471,12 Years a Slave,Normal Acting,7,2013,11128
Brad Pitt,V 547471,12 Years a Slave,Producer,7,2013,11129
Brad Pitt,V 569907,Kick-Ass 2,Producer,6,2013,11131
Brad Pitt,V 558142,The Counselor,Normal Acting,3,2013,11132
Brad Pitt,V 475395,World War Z,Normal Acting,5,2013,11133
Brad Pitt,V 475395,World War Z,Producer,5,2013,11134
Brad Pitt,V 532213,Killing Them Softly,Normal Acting,4,2012,11135
Brad Pitt,V 532213,Killing Them Softly,Producer,4,2012,11136
Djimon Hounsou,V 576836,Baggage Claim,Normal Acting,3,2013,11232
Peter O'Toole,V 561848,For Greater Glory,Normal Acting,6,2012,11426
Diahann Carroll,V 554535,Peeples,Normal Acting,4,2013,11513
Bill Murray,V 548584,A Glimpse Inside the Mind of Charles Swan III,Normal Acting,7,2012,11663
Bill Murray,V 538889,Hyde Park on Hudson,Normal Acting,5,2012,11664
Bill Murray,V 538719,Moonrise Kingdom,Normal Acting,5,2012,11665
Michael V. Gazzo,V 562017,The Zen of Bennett,Participant,6,2012,12614
Bruce Dern,V 581553,Nebraska,Normal Acting,6,2013,12669
Bruce Dern,V 538627,Django Unchained,Normal Acting,5,2012,12670
Bruce Dern,V 544433,Twixt,Normal Acting,4,2012,12672
Stanley Tucci,V 478166,Jack the Giant Slayer,Normal Acting,5,2013,13136
Stanley Tucci,V 550480,Percy Jackson: Sea of Monsters,Normal Acting,5,2013,13137
Stanley Tucci,V 579553,Some Velvet Morning,Normal Acting,5,2013,13139
Stanley Tucci,V 574426,The Fifth Estate,Normal Acting,5,2013,13140
Stanley Tucci,V 546935,The Hunger Games: Catching Fire,Normal Acting,7,2013,13142
Stanley Tucci,V 545862,The Company You Keep,Normal Acting,4,2012,13144
Stanley Tucci,V 483902,The Hunger Games,Normal Acting,7,2012,13145
Burt Young,V 585411,Abigail Harm,Normal Acting,5,2012,13495
Kate Winslet,V 549092,Labor Day,Normal Acting,3,2013,13644
Kate Winslet,V 539852,Movie 43,Normal Acting,4,2013,13645
Emmanuelle Riva,V 563241,Amour,Normal Acting,7,2012,13682
Helen Mirren,V 551206,RED 2,Normal Acting,5,2013,13737
Helen Mirren,V 415854,Hitchcock,Normal Acting,6,2012,13738
Benicio Del Toro,V 538360,Savages,Normal Acting,6,2012,13901
Saoirse Ronan,V 581058,How I Live Now,Normal Acting,5,2013,13943
Saoirse Ronan,V 538845,The Host,Normal Acting,3,2013,13945
Saoirse Ronan,V 539669,Byzantium,Normal Acting,7,2012,13946
Greg Kinnear,V 579130,The English Teacher,Normal Acting,3,2013,14317
Greg Kinnear,V 571245,Stuck in Love,Normal Acting,5,2012,14318
Tom Hanks,V 554018,Captain Phillips,Normal Acting,7,2013,14413
Tom Hanks,V 576301,Parkland,Producer,5,2013,14415
Tom Hanks,V 562710,Saving Mr. Banks,Normal Acting,6,2013,14416
Tom Hanks,V 545241,Cloud Atlas,Normal Acting,4,2012,14417
Catalina Sandino Moreno,V 576262,Magic Magic,Normal Acting,2,2013,14942
Catalina Sandino Moreno,V 561848,For Greater Glory,Normal Acting,6,2012,14944
Gwyneth Paltrow,V 527818,Iron Man 3,Normal Acting,7,2013,14957
Gwyneth Paltrow,V 451151,Marvel's The Avengers,Normal Acting,8,2012,14960
Gwyneth Paltrow,V 571224,Thanks for Sharing,Normal Acting,5,2012,14963
Clint Eastwood,V 550124,Trouble With the Curve,Normal Acting,4,2012,15018
Clint Eastwood,V 550124,Trouble With the Curve,Producer,4,2012,15019
Clint Eastwood,V 585230,Jersey Boys,Director,,2014,15015
Frank Langella,V 554489,Robot & Frank,Normal Acting,6,2012,15193
Frank Langella,V 571226,The Time Being,Normal Acting,2,2012,15194
Ethan Hawke,V 571068,Before Midnight,Normal Acting,7,2013,15271
Ethan Hawke,V 571068,Before Midnight,Screenwriter,7,2013,15272
Ethan Hawke,V 567853,Getaway,Normal Acting,4,2013,15273
