product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Lace Thong by Mimi Holliday, $45.00, $45.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/lace-thong-by-mimi-holliday-6607456,US TOPSHOP,Lingerie,Topshop US,"A flattering lace scalloped trim thong by Mimi Holliday. 90% Nylon, 10% Elastane. Machine wash.",NULL,NULL,NULL,"L,M,S,XS","M,S,XS",WHITE
Bikini Knickers by Dora Larsen, $60.00, $60.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/bralet-bikini-knickers-set-by-dora-larsen-6608952,US TOPSHOP,Lingerie,Topshop US,"Peckham-based lingerie brand Dora Larsen has created an intricate underwear collection devoted to the art of colour combinations. This gorgeous bra and bikini knickers come in a lavender mesh, complete with orchid elastic and orange lace detail. 85% Nylon, 15% Elastane. Machine wash.",NULL,NULL,NULL,"XS,S,M,L","S,M,L",
Floral Geo Lace Brazillian Knickers, $8.00, $8.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-geo-lace-brazillian-knickers-6217663,US TOPSHOP,Lingerie,Topshop US,"Floral lace goes semi-sheer and sultry with these Brazilian knickers. Comes in a low-rise fit with a contrast waistband. Part of a set. 85% Nylon, 15% Elastane. Machine wash.",4,1,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",IVORY
Ombre Mini Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/ombre-mini-knickers-6764712,US TOPSHOP,Lingerie,Topshop US,"Indigo ombre mini knickers. 94% Polyamide, 6% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10","2,4,6,8,10",INDIGO
Beauty and the Beast Rose Boypants, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/beauty-and-the-beast-rose-boypants-6761196,US TOPSHOP,Lingerie,Topshop US,"Think cute prints and patterns for these comfy boypants. Crafted from a stretchy cotton blend, they feature an all-over print of Disney's Beauty and the Beast with a low-rise waistband for total comfort. 95% Cotton, 5% Elastane. Machine wash.",5,2,NULL,"2,4,6,8,10,12","2,4,6",MULTI
Floral Microfibre Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-microfibre-ladypant-6784205,US TOPSHOP,Lingerie,Topshop US,"These microfibre knickers come in a pastel floral print with elegant lace trims and a cute pink bow applique at the front. 89% Polyamide, 11% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",CORAL
Boho Lace Triangle Bra by Bonds, $28.00, $28.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/boho-lace-triangle-bra-knickers-by-bonds-6646408,US TOPSHOP,Lingerie,Topshop US,"Pink boho lace triangle bra and knickers set by Bonds. 94% Nylon, 6% Elastane. Machine wash.",NULL,NULL,NULL,"4,6,8,10","4,6,8,10",
Lace Bikini Knickers by Bonds, $28.00, $28.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/boho-lace-triangle-bra-knickers-by-bonds-6646408,US TOPSHOP,Lingerie,Topshop US,"Pink boho lace triangle bra and knickers set by Bonds. 94% Nylon, 6% Elastane. Machine wash.",NULL,NULL,NULL,"4,6,8,10","6,8",
Flamingo Print Pants, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/flamingo-print-pants-6765355,US TOPSHOP,Lingerie,Topshop US,"Multicoloured flamingo print ladypant. 86% Polyamide, 14% Elastane. Machine wash.",5,1,NULL,"2,4,6,8,10,12","2,4,6,8,10",MULTI
Shark Print Boypants, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/shark-print-boypants-6556686,US TOPSHOP,Lingerie,Topshop US,"Low rise boypants with good coverage. 95% Cotton, 5% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","4,6,8",MULTI
