product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Wacoal Women's Underwire Sport Bra,$65.00 ,$52.67 ,https://www.amazon.com/-/dp/B01GTNW25C?th=1&psc=1,Wacoal,Bras,Amazon US,"Sport bra offers great control, support and comfort for workouts or as your everyday bra |Wacoal Underwire Sport Bra",4.3,1848,"[ 80% Nylon, 20% Spandex Elastane , Imported , Hand Wash , Maximum Support for high impact activities.Great choice for full busted and full figured women , Two-ply fabric cups and floating underwire frame keep breast motion to a minimum , Outside underwire frame and shoulder strap adjustment designed to minimize chaffing , Moisture-wicking athletic bra featuring triple hook-and-eye closure on back , Inner sling for extra support in G and H cup sizes. Kicked in straps have six row slide and hook positions for a custom fit ]","32C , 32D , 32DD , 32DDD , 32G , 32H , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42D , 42DD , 42DDD","32C , 32D , 32DD , 32G , 32H , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40DD , 40G , 40H , 42D , 42DD",Teaberry/Gray
b.tempt'd by Wacoal Womens Ciao Bella Tanga Panty,$19.00 ,$19.00 ,https://www.amazon.com/-/dp/B015O7EIDI?th=1&psc=1,b-temptd,Panties,Amazon US,Tanga offers corded lace overlay with dramatic scallop at lower front and back edges,4.1,60,"[ 86% Nylon/14% Spandex , Imported , Hand Wash , Low-rise tanga panty in sheer floral lace featuring scalloped trim and cheeky rear coverage , Bow at center ]","Small , Medium , Large","Small , Medium",Large
Wacoal Women's Embrace Lace Bra,$50.00 ,$44.50 ,https://www.amazon.com/-/dp/B018EBOWDC?th=1&psc=1,Wacoal,Bras,Amazon US,Embrace Lace Fashion Wire,4.3,410,"[ Lace: 54% Nylon, 33% Polyester, 13% Spandex , Imported , Hand Wash , Scalloped edging all around for a feminine look , Fully adjustable in the back , Cups at lined and have a mesh sling for lift and support , Coordinating pants available ]","32B , 32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40D , 40DD","32C , 32D , 32DD , 32DDD , 34C , 34DD , 34DDD , 36C , 36D , 36DD , 38C , 38DD , 40D",Frost Gray/Primrose
Wacoal Women's Full Figure Basic Beauty Underwire Bra,$50.00 ,$50.00 ,https://www.amazon.com/-/dp/B002UIAQA4?th=1&psc=1,Wacoal,Bras,Amazon US,Seamless molded two-ply cups with inner sling for smooth support,4.2,961,"[ 85% Nylon/15% Spandex , Imported , Hook and Eye closure , Hand Wash , Full-coverage bra with built-in camisole strap with stretch back release , Cups with hidden inner sling for shape and support , Band and sides smooth and minimize bulge , Hook-and-eye closure ]","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42C , 42D , 42DD , 42DDD , 42G , 42H , 44C , 44D , 44DD , 44DDD , 44G , 44H","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42C , 42D , 42DD , 42DDD , 42G , 42H , 44C , 44D , 44DD , 44DDD , 44G , 44H",Naturally Nude
Calvin Klein Women's Naked Glamour Strapless Push Up Bra,$42.00 ,$28.27 ,https://www.amazon.com/-/dp/B00EOBCRF2?th=1&psc=1,Calvin-Klein,Bras,Amazon US,This essential naked glamour push up strapless bra features luxurious smooth cups for an effortlessly glamorous look.,3.9,178,"[ 67% Nylon, 33% Spandex , Imported , hook and eye closure , Hand Wash , Strapless push-up bra with sweetheart cut , Adjustable and removable straps , Interior grip lining at seams for fit ,Hook-and-eye back closure,Small logo plaque at center front]","30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C","30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C",Black
Wacoal Women's Full Figure Basic Beauty Underwire Bra,$50.00 ,$50.00 ,https://www.amazon.com/-/dp/B01D946IC2?th=1&psc=1,Wacoal,Bras,Amazon US,Seamless molded two-ply cups with inner sling for smooth support,4.2,957,"[ 85% Nylon/15% Spandex , Imported , Hook and Eye closure , Hand Wash , Full-coverage bra with built-in camisole strap with stretch back release , Cups with hidden inner sling for shape and support , Band and sides smooth and minimize bulge , Hook-and-eye closure ]","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42C , 42D , 42DD , 42DDD , 42G , 42H , 44C , 44D , 44DD , 44DDD , 44G , 44H","32DD , 34D , 38C",Dark Denim
Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,$46.00 ,$41.40 ,https://www.amazon.com/-/dp/B00JR4LAEA?th=1&psc=1,Calvin-Klein,Bras,Amazon US,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra,4.3,480,"[ 71% Nylon, 29% Spandex , Imported , hook and eye closure , Hand Wash , Memory touch technology T-shirt bra , Voted ""The Best T-shirt Bra"" from New York Magazine! , Calvin Klein logo on left wing ,Molds quickly to the shape of the body,Double layer bonded wings for invisibility and soft support]","30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD","30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD",Black
Wacoal Women's Amazing Assets Contour Bra,$65.00 ,$65.00 ,https://www.amazon.com/-/dp/B00JROWN2I?th=1&psc=1,Wacoal,Bras,Amazon US,Soft pillow foam contour bra with low crisscross center,3.8,88,"[ 65% Nylon/35% Spandex , Imported , Hand Wash , Full-coverage bra featuring underwire contour cups with crisscross center straps , Adjustable straps , Hook-and-eye closure ]","32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD","32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38C , 38D , 38DD",Naturally Nude
Wacoal Women's Sport Zip Front Contour Bra,$69.84 ,$69.84 ,https://www.amazon.com/-/dp/B01C7WM4KC?th=1&psc=1,Wacoal,Bras,Amazon US,High impact sports bra with a front close zipper which locks in place for a secure workout,3.8,98,"[ 72% Nylon, 28% Spandex , Imported , Zipper closure , Hand Wash , Single hook at the top of the zipper placket for added security , Think foam cups provide great shape with no show through , Hidden underwire delivers support ,Plush back bottom band elastic will be comfortable and stay in place throughout the workout,Low stretch adjustable straps minimize bounce]","30C , 30D , 30DD , 30DDD , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD","30C , 30D , 30DD , 30DDD , 32C , 32D , 32DD , 32DDD , 32G , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD",Castlerock/Black
Wacoal Women's Awareness Underwire Bra,$65.00 ,$65.00 ,https://www.amazon.com/-/dp/B000T369KI?th=1&psc=1,Wacoal,Bras,Amazon US,"Awareness full figure underwire bra with beautiful, smooth jacquard lily fabric",4.4,1163,"[ 80% Nylon/20% Spandex , Imported , Hook and Eye closure , Hand Wash , Bra featuring full molded cups with underwire encased between inner and outer cups , Adjustable straps , Hook-and-eye closure ]","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 34I , 36C , 36D , 36DD , 36DDD , 36G , 36H , 36I , 38C , 38D , 38DD , 38DDD , 38G , 38H , 38I , 40C , 40D , 40DD , 40DDD , 40G , 40H , 40I , 42C , 42D , 42DD , 42DDD , 42G , 42H , 44C , 44D , 44DD , 44DDD , 44G , 44H","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 34I , 36C , 36D , 36DD , 36DDD , 36G , 36H , 36I , 38C , 38D , 38DD , 38DDD , 38G , 38H , 38I , 40C , 40D , 40DD , 40DDD , 40G , 40H , 40I , 42C , 42D , 42DDD , 42G , 42H , 44C , 44D , 44DD , 44DDD , 44G , 44H",Naturally Nude
